id_variedad,descripcion_engih,enhance_id_a_poner,nombre_en_incap,freq_registros,nota_existente,revisar_antes_de_copiar
57,Maicena (fécula de maíz) /Maicera (harina de maíz procesada),70213044.0,Maicena o almidon de maiz,141,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
426,Lechuga romana,70211179.0,Lechuga romana,141,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
165,Jamón ahumado,70207032.0,"Jamon de pavo, ahumado, bajo en grasa",132,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
348,Tamarindo,70212138.0,"Tamarindo, fresco",132,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
528,Nuez moscada,70222016.0,"Nuez moscada, molida",131,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
132,Costillas-pecho de cerdo,70204009.0,"Cerdo, costilla, cruda",127,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
112,Pechuga de pollo,70203038.0,"Pollo, pechuga c/piel, cruda",118,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
121,Hígado de pollo,70207020.0,"Pate, higado de pollo, envasado",109,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
322,Guayaba,70212052.0,Guayaba madura,106,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
384,Yautía coco o pipiota,70211195.0,"Yautia, cruda",106,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
327,Zapote,70212065.0,Injerto o zapote verde,105,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5599,Pan dulce,70214029.0,"Pan dulce, de coco",102,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
169,Jamón de pavo,70207032.0,"Jamon de pavo, ahumado, bajo en grasa",93,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
407,Cebolla blanca,70211036.0,"Cebolla, cabeza",89,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
522,Anís,70222003.0,"Anis, semilla",87,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
261,Queso danés,70201032.0,Queso gouda,83,"Confirmado: Gouda cheese, correcto.",
6,Pan baguette blanco,70214112.0,Pan baguette,82,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4882,Salami de pollo,70207024.0,"Salchicha, de pollo",80,Confirmado: sugerencia automatica revisada contra INCAP y es correcta.,
185,Salchichas tipo Viena,70207027.0,"Salchicha, tipo viena, envasada (pollo&res&cerdo)",78,Confirmado: sugerencia automatica revisada y correcta.,
334,Melón cantaloupe redondo,70212096.0,Melon corrugado o cantaloupe,75,Confirmado: sugerencia automatica revisada y correcta.,
183,Salchichas de hot-dog,70207050.0,"Salchicha, de cerdo",74,Confirmado: sugerencia automatica revisada y correcta.,
379,Lentejas,70209029.0,"Lenteja, grano seco, grano crudo",73,Confirmado: sugerencia automatica revisada y correcta.,
269,Queso picantino parmesano rallado,70201121.0,"Queso parmesano, rallado",68,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
145,Mondongo de res,70205038.0,"Res, panza o mondongo, crudo",66,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
318,Coco de agua,70212021.0,"Coco, agua de",64,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4916,Atún en trozo en agua,70208020.0,"Pescado, atun enlatado c/agua, solidos",64,Confirmado: sugerencia automatica revisada y correcta.,
321,Guanábana,70212050.0,Guanabana o guanaba,63,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
511,Jengibre,70211087.0,"Gengibre o jengibre, raiz",59,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
347,Sandía (patilla),70212134.0,Sandia,59,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
101,Pecho,70205079.0,"Res, posta de pecho, magra, cruda",56,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
143,Hígado de res,70205032.0,"Res, higado, crudo",54,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
412,Coliflor,70211043.0,"Coliflor, blanca, cruda",53,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
209,Mero,70208031.0,"Pescado,mero, fresco",53,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
451,Vegetales mixtos enlatados,70211194.0,"Vegetales mixtos, enlatados, cisal, escurridos",50,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
162,Tocino,70204020.0,"Cerdo, tocino curado, no preparado",48,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
467,Dulce de leche,70201067.0,Suero dulce de leche,47,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3807,Macarrones,70213073.0,"Pasta enlatada, macarrones c/queso",47,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
335,Melón liso,70212097.0,Melon liso o melon casaba,44,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
208,Merluza,70208030.0,"Pescado,merluza,fresca",43,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
127,Pierna de cerdo,70204017.0,"Cerdo, pierna semi magra, cruda",43,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
404,Berro,70211025.0,Berro. crudo,43,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
436,Alcaparras,70222027.0,Alcaparra.enlatada,42,Confirmado: sugerencia automatica revisada y correcta.,
221,Camarones,70208005.0,"Camaron, fresco",42,Confirmado: sugerencia automatica revisada y correcta.,
331,Mandarina,70212077.0,"Mandarina/tangerina, fruta",40,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
415,Puerro,70211142.0,"Puerro, cabeza o bulbo y hojas",40,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
122,Molleja de pollo,70203030.0,"Pollo, molleja, cruda",35,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
300,Aceite de canola,70216032.0,Aceite de canola,33,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
296,Aceite de maíz,70216006.0,Aceite de de maiz,33,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5839,Carne salada,70205026.0,"Res, carne salada, oreada",30,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
295,Aceite de coco,70216004.0,Aceite de de coco,29,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4,Pan de maíz entero,70213031.0,"Harina de maiz amarillo, grano entero",28,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4611,Donas de azucar,70218005.0,"Donas, cubierta de azucar",27,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
216,Atún,70208019.0,"Pescado, atun enlatado c/aceite, solidos",27,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
164,Chorizos,70207005.0,Chorizo de res,26,Confirmado correcto.,
3,Pan de leche,70214020.0,"Pan blanco, tipo bollo c/leche",25,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
529,Manzanilla,70212090.0,Manzanita/manzanilla,25,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
339,Toronja,70212139.0,"Toronja blanca, fruta",23,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
351,Carambola,70212015.0,Carambola,22,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
346,Pera,70212118.0,Pepino dulce o pera limon,22,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
184,Salchichas de freír,70207025.0,"Salchicha, de res",22,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
53,Tortilla de maíz (para tacos),70214068.0,"Tortilla de maiz, lista para hornear o freir, no enriq.",22,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
92,Lasagña,70213169.0,"Pasta para lasagna, cruda",20,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
512,Perejil,70211275.0,"Perejil, seco, congelado",20,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
194,Pipián,70211021.0,"Calabacitaiguicoyito/pipian, crudo",19,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
104,Filete,70204031.0,"Cerdo, solomillo o filete, semimagro, crudo",13,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
306,Mantequilla de maní,70216017.0,Mantequilla de mani c/sal,12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
212,Salmón,70208038.0,"Pescado, salmon rosado, enlatado",12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
170,Jamón de pollo,70207012.0,Jamon de pollo,12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
182,Salchichas de carne de cerdo,70207026.0,"Salchicha, de res y cerdo",12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
466,Melaza,70215022.0,Melaza,12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
409,Cebollín,70211039.0,Cebollin,12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
2869,Hígado de cerdo,70204014.0,"Cerdo, higado, crudo",12,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
397,Rábano,70211126.0,"Rabano, hojas",9,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
69,Arroz integral,70213006.0,"Arroz integral, grano mediano, crudo",9,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4199,Salchicha de pollo,70207053.0,"Salchicha, de res y pollo",9,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
125,Lomo de Cerdo,70204042.0,"Cerdo, lomo de cinta, semimagro, crudo",9,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
576,Polvo para hornear,70214044.0,Polvo de hornear,9,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
201,Bonito,70208024.0,"Pescado, bonito, fresco",8,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
15,Pan de hot dog,70214019.0,"Pan blanco, tipo hamburguesa-hot dog",8,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4999,Kiwi,70212069.0,"Kiwi , fruta fresca",7,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
329,Limón dulce,70212070.0,Lima limon o limon dulce,7,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
22,Galletas María,70214002.0,"Galletas dulces, simples tipo maria",7,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
135,Rabo de cerdo,70204022.0,"Cerdo, cola o rabo, crudo",7,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
176,Mortadela,70207018.0,Mortadela de cerdo y res,6,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
365,Ajonjolí,70210014.0,"Semilla de ajonjoli o sesamo, seca",6,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
518,Hojas de Menta,70222036.0,"Menta, hojas frescas",5,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
561,Extracto de vainilla,70222025.0,"Vainilla, extracto",5,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4707,Salami de pavo,70207046.0,"Salami de pavo, cocido",5,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
294,Aceite de girasol,70216005.0,Aceite de girasol (65% ac linoleico),4,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
7,Pan baguette integral,70214112.0,Pan baguette,4,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
513,Albahaca,70222002.0,"Albahaca, fresca",4,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
211,Róbalo,70208037.0,"Pescado,robalo,fresco",4,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
253,Leche en polvo descremada,70201011.0,"Leche descremada, en polvo, s/vit a&d",4,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5958,Tortilla de trigo,70214058.0,"Tortilla de trigo, lista para hornear o freir",4,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
519,Romero,70222020.0,"Romero, fresco",3,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
344,Níspero,70212030.0,Chicozapote o nispero de montana,3,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
147,Riñón de res,70205041.0,"Res, rinon, crudo",3,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
62,Sémola de maíz,70213024.0,"Crema de maiz, semola de maiz enriq. , no preparada",3,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
189,Pepperoni,70207036.0,"Pepperoni , res y cerdo",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
7392,Jobo,70212066.0,"Jocote comun/jobo, amarillo o rojo",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5875,Cúrcuma,70222030.0,"Curcuma, polvo",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3007,Cabeza de res,70205076.0,"Res, manita o cabeza de lomo, magra, cruda",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
345,Pan de fruta,70212043.0,Fruta de pan o masapan,2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
119,Carne de pato,70203005.0,"Pato de crianza, carne c/piel, cruda",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3994,Manzana amarilla,70212186.0,"Manzana, amarilla, con cascara",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5871,Agua de coco envasada (coco rico),70212021.0,"Coco, agua de",2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4261,Aceite de ajonjolí,70216002.0,Aceite de ajonjoli,2,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
416,Repollo chino,70211031.0,Canchon o repollo chino (pe-tsai),1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
7838,Alas de pollo,70203014.0,"Pollo, alas c/piel, crudas",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
520,Hierbabuena,70211092.0,"Hierbabuena, fresca",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
61,Harina de plátano,70212132.0,"Platano, harina (crema de platano)",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
7839,Pechuga de pavo (Cruda),70203008.0,"Pavo, pechuga c/piel, cruda",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3527,Pan de papa,70214126.0,Pan de papa,1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3584,Pescado trucha,70208044.0,"Pescado, trucha, fresca",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
227,Pulpo,70208048.0,"Pulpo, fresco",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
309,Manteca vegetal,70216013.0,"Manteca vegetal, todo uso, soya&palma hidrog.",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
266,Queso de soya,70201129.0,"Tofu o queso de soya, semiduro",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5164,Dulce de cereza,70212054.0,"Guinda o cereza dulce, fresca",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
81,Germen de trigo,70213087.0,"Trigo, germen de, crudo",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4668,Salchicha cocida,70207051.0,"Salchicha, de pavo, cocida",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5600,Filete de cerdo,70204031.0,"Cerdo, solomillo o filete, semimagro, crudo",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
146,Lengua de cerdo,70204015.0,"Cerdo, lengua, cruda",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3500,Pan de avena,70214121.0,Pan de avena,1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4884,Perejil seco el polvo,70222039.0,"Perejil, seco",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
4269,Mamón,70212076.0,Mamoncillo/mamon,1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
6465,Pistacho,70210029.0,"Semilla de pistacho, cruda",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
308,Manteca de cerdo,70216012.0,Manteca de cerdo,1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
141,Corazón de res,70205028.0,"Res, corazon, crudo",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
5835,Harina integral,70213152.0,"Harina de arroz, integral",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
142,Lengua de res,70205036.0,"Res, lengua, cruda",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
2887,Avena preparada,70213007.0,"Avena instantanea, fortificada, preparada c/agua",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
2667,Agua de coco servida,70212021.0,"Coco, agua de",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
6743,Caimito,70212012.0,Caimito morado,1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
8244,Semillas de girasol,70210045.0,Semilla de girasol seca,1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
3961,Macarrones con queso,70213073.0,"Pasta enlatada, macarrones c/queso",1,Confirmado: sugerencia automatica de alta confianza revisada y correcta.,
