"id_variedad","descripcion_engih","enhance_id","fuente","edible","nombre_incap","notas"
"121","Hígado de pollo","70203028","INCAP","1","Pollo, higado, crudo","PC tomado de INCAP (EDIBLE de Pollo, higado, crudo)"
"322","Guayaba","70212052","INCAP","0.82","Guayaba madura","PC tomado de INCAP (EDIBLE de Guayaba madura)"
"384","Yautía coco o pipiota","70211195","INCAP","0.86","Yautia, cruda","PC tomado de INCAP (EDIBLE de Yautia, cruda)"
"327","Zapote","70212152","INCAP","0.69","Zapote o zapote mamey","PC tomado de INCAP (EDIBLE de Zapote o zapote mamey)"
"5599","Pan dulce","70214127","INCAP","1","Pan dulce, simple","PC tomado de INCAP (EDIBLE de Pan dulce, simple)"
"169","Jamón de pavo","70207032","INCAP","1","Jamon de pavo, ahumado, bajo en grasa","PC tomado de INCAP (EDIBLE de Jamon de pavo, ahumado, bajo en grasa)"
"407","Cebolla blanca","70211036","INCAP","0.91","Cebolla, cabeza","PC tomado de INCAP (EDIBLE de Cebolla, cabeza)"
"522","Anís","70222003","INCAP","1","Anis, semilla","PC tomado de INCAP (EDIBLE de Anis, semilla)"
"261","Queso danés","70201032","INCAP","1","Queso gouda","PC tomado de INCAP (EDIBLE de Queso gouda)"
"6","Pan baguette blanco","70214112","INCAP","1","Pan baguette","PC tomado de INCAP (EDIBLE de Pan baguette)"
"4882","Salami de pollo","70207024","INCAP","1","Salchicha, de pollo","PC tomado de INCAP (EDIBLE de Salchicha, de pollo)"
"185","Salchichas tipo Viena","70207027","INCAP","1","Salchicha, tipo viena, envasada (pollo&res&cerdo)","PC tomado de INCAP (EDIBLE de Salchicha, tipo viena, envasada (pollo&res&cerdo))"
"334","Melón cantaloupe redondo","70212096","INCAP","0.51","Melon corrugado o cantaloupe","PC tomado de INCAP (EDIBLE de Melon corrugado o cantaloupe)"
"183","Salchichas de hot-dog","70207050","INCAP","1","Salchicha, de cerdo","PC tomado de INCAP (EDIBLE de Salchicha, de cerdo)"
"379","Lentejas","70209029","INCAP","1","Lenteja, grano seco, grano crudo","PC tomado de INCAP (EDIBLE de Lenteja, grano seco, grano crudo)"
"269","Queso picantino parmesano rallado","70201121","INCAP","1","Queso parmesano, rallado","PC tomado de INCAP (EDIBLE de Queso parmesano, rallado)"
"145","Mondongo de res","70205038","INCAP","0.95","Res, panza o mondongo, crudo","PC tomado de INCAP (EDIBLE de Res, panza o mondongo, crudo)"
"318","Coco de agua","70212021","INCAP","1","Coco, agua de","PC tomado de INCAP (EDIBLE de Coco, agua de)"
"4916","Atún en trozo en agua","70208020","INCAP","1","Pescado, atun enlatado c/agua, solidos","PC tomado de INCAP (EDIBLE de Pescado, atun enlatado c/agua, solidos)"
"321","Guanábana","70212050","INCAP","0.67","Guanabana o guanaba","PC tomado de INCAP (EDIBLE de Guanabana o guanaba)"
"511","Jengibre","70211087","INCAP","0.93","Gengibre o jengibre, raiz","PC tomado de INCAP (EDIBLE de Gengibre o jengibre, raiz)"
"347","Sandía (patilla)","70212134","INCAP","0.52","Sandia","PC tomado de INCAP (EDIBLE de Sandia)"
"101","Pecho","70205079","INCAP","0.9","Res, posta de pecho, magra, cruda","PC tomado de INCAP (EDIBLE de Res, posta de pecho, magra, cruda)"
"143","Hígado de res","70205032","INCAP","1","Res, higado, crudo","PC tomado de INCAP (EDIBLE de Res, higado, crudo)"
"412","Coliflor","70211043","INCAP","0.39","Coliflor, blanca, cruda","PC tomado de INCAP (EDIBLE de Coliflor, blanca, cruda)"
"209","Mero","70208031","INCAP","0.57","Pescado,mero, fresco","PC tomado de INCAP (EDIBLE de Pescado,mero, fresco)"
"451","Vegetales mixtos enlatados","70211194","INCAP","1","Vegetales mixtos, enlatados, cisal, escurridos","PC tomado de INCAP (EDIBLE de Vegetales mixtos, enlatados, cisal, escurridos)"
"162","Tocino","70204020","INCAP","1","Cerdo, tocino curado, no preparado","PC tomado de INCAP (EDIBLE de Cerdo, tocino curado, no preparado)"
"467","Dulce de leche","70201080","INCAP","1","Leche condensada, azucarada (lechera)","PC tomado de INCAP (EDIBLE de Leche condensada, azucarada (lechera))"
"3807","Macarrones","70213060","INCAP","1","Pasta enriquecida, cruda","PC tomado de INCAP (EDIBLE de Pasta enriquecida, cruda)"
"335","Melón liso","70212097","INCAP","0.6","Melon liso o melon casaba","PC tomado de INCAP (EDIBLE de Melon liso o melon casaba)"
"208","Merluza","70208030","INCAP","0.64","Pescado,merluza,fresca","PC tomado de INCAP (EDIBLE de Pescado,merluza,fresca)"
"127","Pierna de cerdo","70204017","INCAP","0.83","Cerdo, pierna semi magra, cruda","PC tomado de INCAP (EDIBLE de Cerdo, pierna semi magra, cruda)"
"404","Berro","70211025","INCAP","0.92","Berro. crudo","PC tomado de INCAP (EDIBLE de Berro. crudo)"
"436","Alcaparras","70222027","INCAP","1","Alcaparra.enlatada","PC tomado de INCAP (EDIBLE de Alcaparra.enlatada)"
"221","Camarones","70208005","INCAP","0.47","Camaron, fresco","PC tomado de INCAP (EDIBLE de Camaron, fresco)"
"331","Mandarina","70212077","INCAP","0.74","Mandarina/tangerina, fruta","PC tomado de INCAP (EDIBLE de Mandarina/tangerina, fruta)"
"415","Puerro","70211142","INCAP","0.44","Puerro, cabeza o bulbo y hojas","PC tomado de INCAP (EDIBLE de Puerro, cabeza o bulbo y hojas)"
"122","Molleja de pollo","70203030","INCAP","1","Pollo, molleja, cruda","PC tomado de INCAP (EDIBLE de Pollo, molleja, cruda)"
"300","Aceite de canola","70216032","INCAP","1","Aceite de canola","PC tomado de INCAP (EDIBLE de Aceite de canola)"
"296","Aceite de maíz","70216006","INCAP","1","Aceite de de maiz","PC tomado de INCAP (EDIBLE de Aceite de de maiz)"
"5839","Carne salada","70205026","INCAP","0.99","Res, carne salada, oreada","PC tomado de INCAP (EDIBLE de Res, carne salada, oreada)"
"295","Aceite de coco","70216004","INCAP","1","Aceite de de coco","PC tomado de INCAP (EDIBLE de Aceite de de coco)"
"4","Pan de maíz entero","70213031","INCAP","1","Harina de maiz amarillo, grano entero","PC tomado de INCAP (EDIBLE de Harina de maiz amarillo, grano entero)"
"4611","Donas de azucar","70218005","INCAP","1","Donas, cubierta de azucar","PC tomado de INCAP (EDIBLE de Donas, cubierta de azucar)"
"216","Atún","70208019","INCAP","1","Pescado, atun enlatado c/aceite, solidos","PC tomado de INCAP (EDIBLE de Pescado, atun enlatado c/aceite, solidos)"
"164","Chorizos","70207005","INCAP","0.98","Chorizo de res","PC tomado de INCAP (EDIBLE de Chorizo de res)"
"3","Pan de leche","70214020","INCAP","1","Pan blanco, tipo bollo c/leche","PC tomado de INCAP (EDIBLE de Pan blanco, tipo bollo c/leche)"
"529","Manzanilla","70217156","INCAP","1","Te, manzanilla, preparado","PC tomado de INCAP (EDIBLE de Te, manzanilla, preparado)"
"339","Toronja","70212139","INCAP","0.49","Toronja blanca, fruta","PC tomado de INCAP (EDIBLE de Toronja blanca, fruta)"
"351","Carambola","70212015","INCAP","0.97","Carambola","PC tomado de INCAP (EDIBLE de Carambola)"
"346","Pera","70212120","INCAP","0.92","Pera, importada, s/cascara","PC tomado de INCAP (EDIBLE de Pera, importada, s/cascara)"
"184","Salchichas de freír","70207025","INCAP","1","Salchicha, de res","PC tomado de INCAP (EDIBLE de Salchicha, de res)"
"53","Tortilla de maíz (para tacos)","70214068","INCAP","1","Tortilla de maiz, lista para hornear o freir, no enriq.","PC tomado de INCAP (EDIBLE de Tortilla de maiz, lista para hornear o freir, no enriq.)"
"92","Lasagña","70213169","INCAP","1","Pasta para lasagna, cruda","PC tomado de INCAP (EDIBLE de Pasta para lasagna, cruda)"
"512","Perejil","70211140","INCAP","0.95","Perejil, fresco","PC tomado de INCAP (EDIBLE de Perejil, fresco)"
"194","Pipián","70211021","INCAP","0.95","Calabacitaiguicoyito/pipian, crudo","PC tomado de INCAP (EDIBLE de Calabacitaiguicoyito/pipian, crudo)"
"104","Filete","70204031","INCAP","0.94","Cerdo, solomillo o filete, semimagro, crudo","PC tomado de INCAP (EDIBLE de Cerdo, solomillo o filete, semimagro, crudo)"
"306","Mantequilla de maní","70216017","INCAP","1","Mantequilla de mani c/sal","PC tomado de INCAP (EDIBLE de Mantequilla de mani c/sal)"
"212","Salmón","70208038","INCAP","1","Pescado, salmon rosado, enlatado","PC tomado de INCAP (EDIBLE de Pescado, salmon rosado, enlatado)"
"170","Jamón de pollo","70207012","INCAP","1","Jamon de pollo","PC tomado de INCAP (EDIBLE de Jamon de pollo)"
"182","Salchichas de carne de cerdo","70207026","INCAP","1","Salchicha, de res y cerdo","PC tomado de INCAP (EDIBLE de Salchicha, de res y cerdo)"
"466","Melaza","70215022","INCAP","1","Melaza","PC tomado de INCAP (EDIBLE de Melaza)"
"409","Cebollín","70211039","INCAP","0.9","Cebollin","PC tomado de INCAP (EDIBLE de Cebollin)"
"2869","Hígado de cerdo","70204014","INCAP","1","Cerdo, higado, crudo","PC tomado de INCAP (EDIBLE de Cerdo, higado, crudo)"
"397","Rábano","70211144","INCAP","0.9","Rabano, redondo, raiz","PC tomado de INCAP (EDIBLE de Rabano, redondo, raiz)"
"69","Arroz integral","70213006","INCAP","1","Arroz integral, grano mediano, crudo","PC tomado de INCAP (EDIBLE de Arroz integral, grano mediano, crudo)"
"4199","Salchicha de pollo","70207024","INCAP","1","Salchicha, de pollo","PC tomado de INCAP (EDIBLE de Salchicha, de pollo)"
"125","Lomo de Cerdo","70204042","INCAP","0.95","Cerdo, lomo de cinta, semimagro, crudo","PC tomado de INCAP (EDIBLE de Cerdo, lomo de cinta, semimagro, crudo)"
"576","Polvo para hornear","70214044","INCAP","1","Polvo de hornear","PC tomado de INCAP (EDIBLE de Polvo de hornear)"
"201","Bonito","70208024","INCAP","0.51","Pescado, bonito, fresco","PC tomado de INCAP (EDIBLE de Pescado, bonito, fresco)"
"15","Pan de hot dog","70214019","INCAP","1","Pan blanco, tipo hamburguesa-hot dog","PC tomado de INCAP (EDIBLE de Pan blanco, tipo hamburguesa-hot dog)"
"4999","Kiwi","70212069","INCAP","0.76","Kiwi , fruta fresca","PC tomado de INCAP (EDIBLE de Kiwi , fruta fresca)"
"329","Limón dulce","70212070","INCAP","0.6","Lima limon o limon dulce","PC tomado de INCAP (EDIBLE de Lima limon o limon dulce)"
"22","Galletas María","70214002","INCAP","1","Galletas dulces, simples tipo maria","PC tomado de INCAP (EDIBLE de Galletas dulces, simples tipo maria)"
"135","Rabo de cerdo","70204022","INCAP","0.7","Cerdo, cola o rabo, crudo","PC tomado de INCAP (EDIBLE de Cerdo, cola o rabo, crudo)"
"176","Mortadela","70207018","INCAP","1","Mortadela de cerdo y res","PC tomado de INCAP (EDIBLE de Mortadela de cerdo y res)"
"365","Ajonjolí","70210014","INCAP","1","Semilla de ajonjoli o sesamo, seca","PC tomado de INCAP (EDIBLE de Semilla de ajonjoli o sesamo, seca)"
"518","Hojas de Menta","70222036","INCAP","0.61","Menta, hojas frescas","PC tomado de INCAP (EDIBLE de Menta, hojas frescas)"
"561","Extracto de vainilla","70222025","INCAP","1","Vainilla, extracto","PC tomado de INCAP (EDIBLE de Vainilla, extracto)"
"4707","Salami de pavo","70207046","INCAP","1","Salami de pavo, cocido","PC tomado de INCAP (EDIBLE de Salami de pavo, cocido)"
"294","Aceite de girasol","70216005","INCAP","1","Aceite de girasol (65% ac linoleico)","PC tomado de INCAP (EDIBLE de Aceite de girasol (65% ac linoleico))"
"7","Pan baguette integral","70214112","INCAP","1","Pan baguette","PC tomado de INCAP (EDIBLE de Pan baguette)"
"513","Albahaca","70222002","INCAP","0.64","Albahaca, fresca","PC tomado de INCAP (EDIBLE de Albahaca, fresca)"
"211","Róbalo","70208037","INCAP","0.66","Pescado,robalo,fresco","PC tomado de INCAP (EDIBLE de Pescado,robalo,fresco)"
"253","Leche en polvo descremada","70201011","INCAP","1","Leche descremada, en polvo, s/vit a&d","PC tomado de INCAP (EDIBLE de Leche descremada, en polvo, s/vit a&d)"
"5958","Tortilla de trigo","70214058","INCAP","1","Tortilla de trigo, lista para hornear o freir","PC tomado de INCAP (EDIBLE de Tortilla de trigo, lista para hornear o freir)"
"519","Romero","70222020","INCAP","0.65","Romero, fresco","PC tomado de INCAP (EDIBLE de Romero, fresco)"
"344","Níspero","70212030","INCAP","0.8","Chicozapote o nispero de montana","PC tomado de INCAP (EDIBLE de Chicozapote o nispero de montana)"
"147","Riñón de res","70205041","INCAP","0.84","Res, rinon, crudo","PC tomado de INCAP (EDIBLE de Res, rinon, crudo)"
"62","Sémola de maíz","70213024","INCAP","1","Crema de maiz, semola de maiz enriq. , no preparada","PC tomado de INCAP (EDIBLE de Crema de maiz, semola de maiz enriq. , no preparada)"
"189","Pepperoni","70207036","INCAP","1","Pepperoni , res y cerdo","PC tomado de INCAP (EDIBLE de Pepperoni , res y cerdo)"
"7392","Jobo","70212066","INCAP","0.66","Jocote comun/jobo, amarillo o rojo","PC tomado de INCAP (EDIBLE de Jocote comun/jobo, amarillo o rojo)"
"5875","Cúrcuma","70222030","INCAP","1","Curcuma, polvo","PC tomado de INCAP (EDIBLE de Curcuma, polvo)"
"3007","Cabeza de res","70205076","INCAP","0.93","Res, manita o cabeza de lomo, magra, cruda","PC tomado de INCAP (EDIBLE de Res, manita o cabeza de lomo, magra, cruda)"
"345","Pan de fruta","70212043","INCAP","0.78","Fruta de pan o masapan","PC tomado de INCAP (EDIBLE de Fruta de pan o masapan)"
"119","Carne de pato","70203005","INCAP","0.72","Pato de crianza, carne c/piel, cruda","PC tomado de INCAP (EDIBLE de Pato de crianza, carne c/piel, cruda)"
"3994","Manzana amarilla","70212186","INCAP","0.9","Manzana, amarilla, con cascara","PC tomado de INCAP (EDIBLE de Manzana, amarilla, con cascara)"
"5871","Agua de coco envasada (coco rico)","70212021","INCAP","1","Coco, agua de","PC tomado de INCAP (EDIBLE de Coco, agua de)"
"4261","Aceite de ajonjolí","70216002","INCAP","1","Aceite de ajonjoli","PC tomado de INCAP (EDIBLE de Aceite de ajonjoli)"
"416","Repollo chino","70211031","INCAP","0.93","Canchon o repollo chino (pe-tsai)","PC tomado de INCAP (EDIBLE de Canchon o repollo chino (pe-tsai))"
"7838","Alas de pollo","70203014","INCAP","0.62","Pollo, alas c/piel, crudas","PC tomado de INCAP (EDIBLE de Pollo, alas c/piel, crudas)"
"520","Hierbabuena","70211092","INCAP","0.61","Hierbabuena, fresca","PC tomado de INCAP (EDIBLE de Hierbabuena, fresca)"
"61","Harina de plátano","70212132","INCAP","1","Platano, harina (crema de platano)","PC tomado de INCAP (EDIBLE de Platano, harina (crema de platano))"
"7839","Pechuga de pavo (Cruda)","70203008","INCAP","0.86","Pavo, pechuga c/piel, cruda","PC tomado de INCAP (EDIBLE de Pavo, pechuga c/piel, cruda)"
"3527","Pan de papa","70214126","INCAP","1","Pan de papa","PC tomado de INCAP (EDIBLE de Pan de papa)"
"3584","Pescado trucha","70208044","INCAP","0.52","Pescado, trucha, fresca","PC tomado de INCAP (EDIBLE de Pescado, trucha, fresca)"
"227","Pulpo","70208048","INCAP","1","Pulpo, fresco","PC tomado de INCAP (EDIBLE de Pulpo, fresco)"
"309","Manteca vegetal","70216013","INCAP","1","Manteca vegetal, todo uso, soya&palma hidrog.","PC tomado de INCAP (EDIBLE de Manteca vegetal, todo uso, soya&palma hidrog.)"
"266","Queso de soya","70201129","INCAP","1","Tofu o queso de soya, semiduro","PC tomado de INCAP (EDIBLE de Tofu o queso de soya, semiduro)"
"5164","Dulce de cereza","70212054","INCAP","0.92","Guinda o cereza dulce, fresca","PC tomado de INCAP (EDIBLE de Guinda o cereza dulce, fresca)"
"81","Germen de trigo","70213087","INCAP","1","Trigo, germen de, crudo","PC tomado de INCAP (EDIBLE de Trigo, germen de, crudo)"
"4668","Salchicha cocida","70207051","INCAP","1","Salchicha, de pavo, cocida","PC tomado de INCAP (EDIBLE de Salchicha, de pavo, cocida)"
"5600","Filete de cerdo","70204031","INCAP","0.94","Cerdo, solomillo o filete, semimagro, crudo","PC tomado de INCAP (EDIBLE de Cerdo, solomillo o filete, semimagro, crudo)"
"146","Lengua de cerdo","70204015","INCAP","0.84","Cerdo, lengua, cruda","PC tomado de INCAP (EDIBLE de Cerdo, lengua, cruda)"
"3500","Pan de avena","70214121","INCAP","1","Pan de avena","PC tomado de INCAP (EDIBLE de Pan de avena)"
"4884","Perejil seco el polvo","70222039","INCAP","1","Perejil, seco","PC tomado de INCAP (EDIBLE de Perejil, seco)"
"4269","Mamón","70212076","INCAP","0.51","Mamoncillo/mamon","PC tomado de INCAP (EDIBLE de Mamoncillo/mamon)"
"6465","Pistacho","70210029","INCAP","0.53","Semilla de pistacho, cruda","PC tomado de INCAP (EDIBLE de Semilla de pistacho, cruda)"
"308","Manteca de cerdo","70216012","INCAP","1","Manteca de cerdo","PC tomado de INCAP (EDIBLE de Manteca de cerdo)"
"141","Corazón de res","70205028","INCAP","0.71","Res, corazon, crudo","PC tomado de INCAP (EDIBLE de Res, corazon, crudo)"
"5835","Harina integral","70213158","INCAP","1","Harina de trigo, grano entero (integral)","PC tomado de INCAP (EDIBLE de Harina de trigo, grano entero (integral))"
"142","Lengua de res","70205036","INCAP","0.84","Res, lengua, cruda","PC tomado de INCAP (EDIBLE de Res, lengua, cruda)"
"2887","Avena preparada","70213007","INCAP","1","Avena instantanea, fortificada, preparada c/agua","PC tomado de INCAP (EDIBLE de Avena instantanea, fortificada, preparada c/agua)"
"2667","Agua de coco servida","70212021","INCAP","1","Coco, agua de","PC tomado de INCAP (EDIBLE de Coco, agua de)"
"6743","Caimito","70212012","INCAP","0.65","Caimito morado","PC tomado de INCAP (EDIBLE de Caimito morado)"
"8244","Semillas de girasol","70210045","INCAP","0.54","Semilla de girasol seca","PC tomado de INCAP (EDIBLE de Semilla de girasol seca)"
"3961","Macarrones con queso","70213073","INCAP","1","Pasta enlatada, macarrones c/queso","PC tomado de INCAP (EDIBLE de Pasta enlatada, macarrones c/queso)"
